"State","Population","Deaths","Abbrev"
"Alabama","4,833,722","723","AL"
"Alaska","735,132","124","AK"
"Arizona","6,626,624","1,211","AZ"
"Arkansas","2,959,373","356","AR"
"California","38,332,521","4,521","CA"
"Colorado","5,268,367","899","CO"
"Connecticut","3,596,080","623","CT"
"Delaware","925,749","189","DE"
"Florida","19,552,860","2,634","FL"
"Georgia","9,992,167","1,206","GA"
"Hawaii","1,404,054","157","HI"
"Idaho","1,612,136","212","ID"
"Illinois","12,882,135","1,705","IL"
"Indiana","6,570,902","1,172","IN"
"Iowa","3,090,416","264","IA"
"Kansas","2,893,957","332","KS"
"Kentucky","4,395,295","1,077","KY"
"Louisiana","4,625,470","777","LA"
"Maine","1,328,302","216","ME"
"Maryland","5,928,814","1,070","MD"
"Massachusetts","6,692,824","1,289","MA"
"Michigan","9,895,622","1,762","MI"
"Minnesota","5,420,380","517","MN"
"Mississippi","2,991,207","336","MS"
"Missouri","6,044,171","1,067","MO"
"Montana","1,015,165","125","MT"
"Nebraska","1,868,516","125","NE"
"Nevada","2,790,136","545","NV"
"New Hampshire","1,323,459","334","NH"
"New Jersey","8,899,339","1,253","NJ"
"New Mexico","2,085,287","547","NM"
"New York","19,651,127","2,300","NY"
"North Carolina","9,848,060","1,358","NC"
"North Dakota","723,393","43","ND"
"Ohio","11,570,808","2,744","OH"
"Oklahoma","3,850,568","777","OK"
"Oregon","3,930,065","522","OR"
"Pennsylvania","12,773,801","2,732","PA"
"Rhode Island","1,051,511","247","RI"
"South Carolina","4,774,839","701","SC"
"South Dakota","844,877","63","SD"
"Tennessee","6,495,978","1,269","TN"
"Texas","26,448,193","2,601","TX"
"Utah","2,900,872","603","UT"
"Vermont","626,630","83","VT"
"Virginia","8,260,405","980","VA"
"Washington","6,971,406","979","WA"
"West Virginia","1,854,304","627","WV"
"Wisconsin","5,742,713","853","WI"
"Wyoming","582,658","109","WY"
